image1,image2,is_same,similarity
./val/agedb_30_112x112/0.bmp,./val/agedb_30_112x112/1.bmp,1,0.6919062
./val/agedb_30_112x112/2.bmp,./val/agedb_30_112x112/3.bmp,1,0.19655783
./val/agedb_30_112x112/4.bmp,./val/agedb_30_112x112/5.bmp,1,0.54869336
./val/agedb_30_112x112/6.bmp,./val/agedb_30_112x112/7.bmp,1,0.6485853
./val/agedb_30_112x112/8.bmp,./val/agedb_30_112x112/9.bmp,1,0.5713591
./val/agedb_30_112x112/10.bmp,./val/agedb_30_112x112/11.bmp,1,0.65137696
./val/agedb_30_112x112/12.bmp,./val/agedb_30_112x112/13.bmp,1,0.664708
./val/agedb_30_112x112/14.bmp,./val/agedb_30_112x112/15.bmp,1,0.678601
./val/agedb_30_112x112/16.bmp,./val/agedb_30_112x112/17.bmp,1,0.61533815
./val/agedb_30_112x112/18.bmp,./val/agedb_30_112x112/19.bmp,1,0.5929806
./val/agedb_30_112x112/20.bmp,./val/agedb_30_112x112/21.bmp,1,0.531501
./val/agedb_30_112x112/22.bmp,./val/agedb_30_112x112/23.bmp,1,0.64214736
./val/agedb_30_112x112/24.bmp,./val/agedb_30_112x112/25.bmp,1,0.58911467
./val/agedb_30_112x112/26.bmp,./val/agedb_30_112x112/27.bmp,1,0.73585474
./val/agedb_30_112x112/28.bmp,./val/agedb_30_112x112/29.bmp,1,0.5777901
./val/agedb_30_112x112/30.bmp,./val/agedb_30_112x112/31.bmp,1,0.60202724
./val/agedb_30_112x112/32.bmp,./val/agedb_30_112x112/33.bmp,1,0.60282373
./val/agedb_30_112x112/34.bmp,./val/agedb_30_112x112/35.bmp,1,0.5661789
./val/agedb_30_112x112/36.bmp,./val/agedb_30_112x112/37.bmp,1,0.5569613
./val/agedb_30_112x112/38.bmp,./val/agedb_30_112x112/39.bmp,1,0.6128553
./val/agedb_30_112x112/40.bmp,./val/agedb_30_112x112/41.bmp,1,0.5251931
./val/agedb_30_112x112/42.bmp,./val/agedb_30_112x112/43.bmp,1,0.42601475
./val/agedb_30_112x112/44.bmp,./val/agedb_30_112x112/45.bmp,1,0.4249769
./val/agedb_30_112x112/46.bmp,./val/agedb_30_112x112/47.bmp,1,0.7085386
./val/agedb_30_112x112/48.bmp,./val/agedb_30_112x112/49.bmp,1,0.75106096
./val/agedb_30_112x112/50.bmp,./val/agedb_30_112x112/51.bmp,1,0.55488306
./val/agedb_30_112x112/52.bmp,./val/agedb_30_112x112/53.bmp,1,0.48360178
./val/agedb_30_112x112/54.bmp,./val/agedb_30_112x112/55.bmp,1,0.5278164
./val/agedb_30_112x112/56.bmp,./val/agedb_30_112x112/57.bmp,1,0.52377886
./val/agedb_30_112x112/58.bmp,./val/agedb_30_112x112/59.bmp,1,0.52530706
./val/agedb_30_112x112/60.bmp,./val/agedb_30_112x112/61.bmp,1,0.64952636
./val/agedb_30_112x112/62.bmp,./val/agedb_30_112x112/63.bmp,1,0.66972095
./val/agedb_30_112x112/64.bmp,./val/agedb_30_112x112/65.bmp,1,0.52249664
./val/agedb_30_112x112/66.bmp,./val/agedb_30_112x112/67.bmp,1,0.6308094
./val/agedb_30_112x112/68.bmp,./val/agedb_30_112x112/69.bmp,1,0.46943447
./val/agedb_30_112x112/70.bmp,./val/agedb_30_112x112/71.bmp,1,0.5763881
./val/agedb_30_112x112/72.bmp,./val/agedb_30_112x112/73.bmp,1,0.6019696
./val/agedb_30_112x112/74.bmp,./val/agedb_30_112x112/75.bmp,1,0.50339025
./val/agedb_30_112x112/76.bmp,./val/agedb_30_112x112/77.bmp,1,0.60402817
./val/agedb_30_112x112/78.bmp,./val/agedb_30_112x112/79.bmp,1,0.4790803
./val/agedb_30_112x112/80.bmp,./val/agedb_30_112x112/81.bmp,1,0.5794475
./val/agedb_30_112x112/82.bmp,./val/agedb_30_112x112/83.bmp,1,0.5525415
./val/agedb_30_112x112/84.bmp,./val/agedb_30_112x112/85.bmp,1,0.52327883
./val/agedb_30_112x112/86.bmp,./val/agedb_30_112x112/87.bmp,1,0.5238993
./val/agedb_30_112x112/88.bmp,./val/agedb_30_112x112/89.bmp,1,0.52337605
./val/agedb_30_112x112/90.bmp,./val/agedb_30_112x112/91.bmp,1,0.42428786
./val/agedb_30_112x112/92.bmp,./val/agedb_30_112x112/93.bmp,1,0.41677493
./val/agedb_30_112x112/94.bmp,./val/agedb_30_112x112/95.bmp,1,0.20810111
./val/agedb_30_112x112/96.bmp,./val/agedb_30_112x112/97.bmp,1,0.51072013
./val/agedb_30_112x112/98.bmp,./val/agedb_30_112x112/99.bmp,1,0.4030342
./val/agedb_30_112x112/100.bmp,./val/agedb_30_112x112/101.bmp,1,0.29232574
./val/agedb_30_112x112/102.bmp,./val/agedb_30_112x112/103.bmp,1,0.58341086
./val/agedb_30_112x112/104.bmp,./val/agedb_30_112x112/105.bmp,1,0.60359013
./val/agedb_30_112x112/106.bmp,./val/agedb_30_112x112/107.bmp,1,0.54543257
./val/agedb_30_112x112/108.bmp,./val/agedb_30_112x112/109.bmp,1,0.6689025
./val/agedb_30_112x112/110.bmp,./val/agedb_30_112x112/111.bmp,1,0.6026786
./val/agedb_30_112x112/112.bmp,./val/agedb_30_112x112/113.bmp,1,0.5968548
./val/agedb_30_112x112/114.bmp,./val/agedb_30_112x112/115.bmp,1,0.6911311
./val/agedb_30_112x112/116.bmp,./val/agedb_30_112x112/117.bmp,1,0.55720145
./val/agedb_30_112x112/118.bmp,./val/agedb_30_112x112/119.bmp,1,0.59488785
./val/agedb_30_112x112/120.bmp,./val/agedb_30_112x112/121.bmp,1,0.6314103
./val/agedb_30_112x112/122.bmp,./val/agedb_30_112x112/123.bmp,1,0.6207629
./val/agedb_30_112x112/124.bmp,./val/agedb_30_112x112/125.bmp,1,0.60641176
./val/agedb_30_112x112/126.bmp,./val/agedb_30_112x112/127.bmp,1,0.6428803
./val/agedb_30_112x112/128.bmp,./val/agedb_30_112x112/129.bmp,1,0.5509256
./val/agedb_30_112x112/130.bmp,./val/agedb_30_112x112/131.bmp,1,0.6117491
./val/agedb_30_112x112/132.bmp,./val/agedb_30_112x112/133.bmp,1,0.64294744
./val/agedb_30_112x112/134.bmp,./val/agedb_30_112x112/135.bmp,1,0.5009384
./val/agedb_30_112x112/136.bmp,./val/agedb_30_112x112/137.bmp,1,0.31670958
./val/agedb_30_112x112/138.bmp,./val/agedb_30_112x112/139.bmp,1,0.6157576
./val/agedb_30_112x112/140.bmp,./val/agedb_30_112x112/141.bmp,1,0.5540362
./val/agedb_30_112x112/142.bmp,./val/agedb_30_112x112/143.bmp,1,0.7309073
./val/agedb_30_112x112/144.bmp,./val/agedb_30_112x112/145.bmp,1,0.53131646
./val/agedb_30_112x112/146.bmp,./val/agedb_30_112x112/147.bmp,1,0.49819714
./val/agedb_30_112x112/148.bmp,./val/agedb_30_112x112/149.bmp,1,0.6620614
./val/agedb_30_112x112/150.bmp,./val/agedb_30_112x112/151.bmp,1,0.62728024
./val/agedb_30_112x112/152.bmp,./val/agedb_30_112x112/153.bmp,1,0.5464282
./val/agedb_30_112x112/154.bmp,./val/agedb_30_112x112/155.bmp,1,0.62589765
./val/agedb_30_112x112/156.bmp,./val/agedb_30_112x112/157.bmp,1,0.41418886
./val/agedb_30_112x112/158.bmp,./val/agedb_30_112x112/159.bmp,1,0.62412935
./val/agedb_30_112x112/160.bmp,./val/agedb_30_112x112/161.bmp,1,0.56341875
./val/agedb_30_112x112/162.bmp,./val/agedb_30_112x112/163.bmp,1,0.63114274
./val/agedb_30_112x112/164.bmp,./val/agedb_30_112x112/165.bmp,1,0.63186187
./val/agedb_30_112x112/166.bmp,./val/agedb_30_112x112/167.bmp,1,0.54373944
./val/agedb_30_112x112/168.bmp,./val/agedb_30_112x112/169.bmp,1,0.31259334
./val/agedb_30_112x112/170.bmp,./val/agedb_30_112x112/171.bmp,1,0.45190465
./val/agedb_30_112x112/172.bmp,./val/agedb_30_112x112/173.bmp,1,0.5251579
./val/agedb_30_112x112/174.bmp,./val/agedb_30_112x112/175.bmp,1,0.51405746
./val/agedb_30_112x112/176.bmp,./val/agedb_30_112x112/177.bmp,1,0.6042334
./val/agedb_30_112x112/178.bmp,./val/agedb_30_112x112/179.bmp,1,0.5487042
./val/agedb_30_112x112/180.bmp,./val/agedb_30_112x112/181.bmp,1,0.47344375
./val/agedb_30_112x112/182.bmp,./val/agedb_30_112x112/183.bmp,1,0.4073998
./val/agedb_30_112x112/184.bmp,./val/agedb_30_112x112/185.bmp,1,0.5745544
./val/agedb_30_112x112/186.bmp,./val/agedb_30_112x112/187.bmp,1,0.59601325
./val/agedb_30_112x112/188.bmp,./val/agedb_30_112x112/189.bmp,1,0.6036663
./val/agedb_30_112x112/190.bmp,./val/agedb_30_112x112/191.bmp,1,0.51262385
./val/agedb_30_112x112/192.bmp,./val/agedb_30_112x112/193.bmp,1,0.40944687
./val/agedb_30_112x112/194.bmp,./val/agedb_30_112x112/195.bmp,1,0.5320214
./val/agedb_30_112x112/196.bmp,./val/agedb_30_112x112/197.bmp,1,0.5156066
./val/agedb_30_112x112/198.bmp,./val/agedb_30_112x112/199.bmp,1,0.55775046
./val/agedb_30_112x112/200.bmp,./val/agedb_30_112x112/201.bmp,1,0.65133727
./val/agedb_30_112x112/202.bmp,./val/agedb_30_112x112/203.bmp,1,0.5657999
./val/agedb_30_112x112/204.bmp,./val/agedb_30_112x112/205.bmp,1,0.5461858
./val/agedb_30_112x112/206.bmp,./val/agedb_30_112x112/207.bmp,1,0.3231564
./val/agedb_30_112x112/208.bmp,./val/agedb_30_112x112/209.bmp,1,0.60948616
./val/agedb_30_112x112/210.bmp,./val/agedb_30_112x112/211.bmp,1,0.50054014
./val/agedb_30_112x112/212.bmp,./val/agedb_30_112x112/213.bmp,1,0.5315872
./val/agedb_30_112x112/214.bmp,./val/agedb_30_112x112/215.bmp,1,0.59234214
./val/agedb_30_112x112/216.bmp,./val/agedb_30_112x112/217.bmp,1,0.5906069
./val/agedb_30_112x112/218.bmp,./val/agedb_30_112x112/219.bmp,1,0.6419489
./val/agedb_30_112x112/220.bmp,./val/agedb_30_112x112/221.bmp,1,0.5882745
./val/agedb_30_112x112/222.bmp,./val/agedb_30_112x112/223.bmp,1,0.61673254
./val/agedb_30_112x112/224.bmp,./val/agedb_30_112x112/225.bmp,1,0.5330845
./val/agedb_30_112x112/226.bmp,./val/agedb_30_112x112/227.bmp,1,0.52143383
./val/agedb_30_112x112/228.bmp,./val/agedb_30_112x112/229.bmp,1,0.565158
./val/agedb_30_112x112/230.bmp,./val/agedb_30_112x112/231.bmp,1,0.45991954
./val/agedb_30_112x112/232.bmp,./val/agedb_30_112x112/233.bmp,1,0.45268872
./val/agedb_30_112x112/234.bmp,./val/agedb_30_112x112/235.bmp,1,0.4601705
./val/agedb_30_112x112/236.bmp,./val/agedb_30_112x112/237.bmp,1,0.42811406
./val/agedb_30_112x112/238.bmp,./val/agedb_30_112x112/239.bmp,1,0.43396
./val/agedb_30_112x112/240.bmp,./val/agedb_30_112x112/241.bmp,1,0.5263984
./val/agedb_30_112x112/242.bmp,./val/agedb_30_112x112/243.bmp,1,0.42721528
./val/agedb_30_112x112/244.bmp,./val/agedb_30_112x112/245.bmp,1,0.5237067
./val/agedb_30_112x112/246.bmp,./val/agedb_30_112x112/247.bmp,1,0.6732207
./val/agedb_30_112x112/248.bmp,./val/agedb_30_112x112/249.bmp,1,0.7366736
./val/agedb_30_112x112/250.bmp,./val/agedb_30_112x112/251.bmp,1,0.5487459
./val/agedb_30_112x112/252.bmp,./val/agedb_30_112x112/253.bmp,1,0.59669256
./val/agedb_30_112x112/254.bmp,./val/agedb_30_112x112/255.bmp,1,0.64992714
./val/agedb_30_112x112/256.bmp,./val/agedb_30_112x112/257.bmp,1,0.6294037
./val/agedb_30_112x112/258.bmp,./val/agedb_30_112x112/259.bmp,1,0.6153167
./val/agedb_30_112x112/260.bmp,./val/agedb_30_112x112/261.bmp,1,0.4612646
./val/agedb_30_112x112/262.bmp,./val/agedb_30_112x112/263.bmp,1,0.60620546
./val/agedb_30_112x112/264.bmp,./val/agedb_30_112x112/265.bmp,1,0.52935505
./val/agedb_30_112x112/266.bmp,./val/agedb_30_112x112/267.bmp,1,0.704832
./val/agedb_30_112x112/268.bmp,./val/agedb_30_112x112/269.bmp,1,0.6218263
./val/agedb_30_112x112/270.bmp,./val/agedb_30_112x112/271.bmp,1,0.5673299
./val/agedb_30_112x112/272.bmp,./val/agedb_30_112x112/273.bmp,1,0.6428486
./val/agedb_30_112x112/274.bmp,./val/agedb_30_112x112/275.bmp,1,0.4537173
./val/agedb_30_112x112/276.bmp,./val/agedb_30_112x112/277.bmp,1,0.51497626
./val/agedb_30_112x112/278.bmp,./val/agedb_30_112x112/279.bmp,1,0.4647097
./val/agedb_30_112x112/280.bmp,./val/agedb_30_112x112/281.bmp,1,0.47099432
./val/agedb_30_112x112/282.bmp,./val/agedb_30_112x112/283.bmp,1,0.5394143
./val/agedb_30_112x112/284.bmp,./val/agedb_30_112x112/285.bmp,1,0.40871248
./val/agedb_30_112x112/286.bmp,./val/agedb_30_112x112/287.bmp,1,0.4088292
./val/agedb_30_112x112/288.bmp,./val/agedb_30_112x112/289.bmp,1,0.55030036
./val/agedb_30_112x112/290.bmp,./val/agedb_30_112x112/291.bmp,1,0.46861666
./val/agedb_30_112x112/292.bmp,./val/agedb_30_112x112/293.bmp,1,0.6542451
./val/agedb_30_112x112/294.bmp,./val/agedb_30_112x112/295.bmp,1,0.6054857
./val/agedb_30_112x112/296.bmp,./val/agedb_30_112x112/297.bmp,1,0.43746406
./val/agedb_30_112x112/298.bmp,./val/agedb_30_112x112/299.bmp,1,0.46288502
./val/agedb_30_112x112/300.bmp,./val/agedb_30_112x112/301.bmp,1,0.56789756
./val/agedb_30_112x112/302.bmp,./val/agedb_30_112x112/303.bmp,1,0.4472766
./val/agedb_30_112x112/304.bmp,./val/agedb_30_112x112/305.bmp,1,0.5397394
./val/agedb_30_112x112/306.bmp,./val/agedb_30_112x112/307.bmp,1,0.54473436
./val/agedb_30_112x112/308.bmp,./val/agedb_30_112x112/309.bmp,1,0.4717743
./val/agedb_30_112x112/310.bmp,./val/agedb_30_112x112/311.bmp,1,0.686207
./val/agedb_30_112x112/312.bmp,./val/agedb_30_112x112/313.bmp,1,0.49159068
./val/agedb_30_112x112/314.bmp,./val/agedb_30_112x112/315.bmp,1,0.42577735
./val/agedb_30_112x112/316.bmp,./val/agedb_30_112x112/317.bmp,1,0.5860745
./val/agedb_30_112x112/318.bmp,./val/agedb_30_112x112/319.bmp,1,0.32940626
