image1,image2,is_same,similarity
./val/calfw_112x112/0.bmp,./val/calfw_112x112/1.bmp,1,0.36295462
./val/calfw_112x112/2.bmp,./val/calfw_112x112/3.bmp,1,0.5742321
./val/calfw_112x112/4.bmp,./val/calfw_112x112/5.bmp,1,0.23737061
./val/calfw_112x112/6.bmp,./val/calfw_112x112/7.bmp,1,0.4521879
./val/calfw_112x112/8.bmp,./val/calfw_112x112/9.bmp,1,0.24886432
./val/calfw_112x112/10.bmp,./val/calfw_112x112/11.bmp,1,0.4341013
./val/calfw_112x112/12.bmp,./val/calfw_112x112/13.bmp,1,0.23972408
./val/calfw_112x112/14.bmp,./val/calfw_112x112/15.bmp,1,0.49353862
./val/calfw_112x112/16.bmp,./val/calfw_112x112/17.bmp,1,0.5318628
./val/calfw_112x112/18.bmp,./val/calfw_112x112/19.bmp,1,0.42094958
./val/calfw_112x112/20.bmp,./val/calfw_112x112/21.bmp,1,0.596593
./val/calfw_112x112/22.bmp,./val/calfw_112x112/23.bmp,1,0.5117055
./val/calfw_112x112/24.bmp,./val/calfw_112x112/25.bmp,1,0.3824258
./val/calfw_112x112/26.bmp,./val/calfw_112x112/27.bmp,1,0.4441386
./val/calfw_112x112/28.bmp,./val/calfw_112x112/29.bmp,1,0.6172632
./val/calfw_112x112/30.bmp,./val/calfw_112x112/31.bmp,1,0.5085155
./val/calfw_112x112/32.bmp,./val/calfw_112x112/33.bmp,1,0.31078172
./val/calfw_112x112/34.bmp,./val/calfw_112x112/35.bmp,1,0.55393
./val/calfw_112x112/36.bmp,./val/calfw_112x112/37.bmp,1,0.46520954
./val/calfw_112x112/38.bmp,./val/calfw_112x112/39.bmp,1,0.3690483
./val/calfw_112x112/40.bmp,./val/calfw_112x112/41.bmp,1,0.5137128
./val/calfw_112x112/42.bmp,./val/calfw_112x112/43.bmp,1,0.5777902
./val/calfw_112x112/44.bmp,./val/calfw_112x112/45.bmp,1,0.5357346
./val/calfw_112x112/46.bmp,./val/calfw_112x112/47.bmp,1,0.6107254
./val/calfw_112x112/48.bmp,./val/calfw_112x112/49.bmp,1,0.5175772
./val/calfw_112x112/50.bmp,./val/calfw_112x112/51.bmp,1,0.5335203
./val/calfw_112x112/52.bmp,./val/calfw_112x112/53.bmp,1,0.5040802
./val/calfw_112x112/54.bmp,./val/calfw_112x112/55.bmp,1,0.673815
./val/calfw_112x112/56.bmp,./val/calfw_112x112/57.bmp,1,0.5316151
./val/calfw_112x112/58.bmp,./val/calfw_112x112/59.bmp,1,0.5156266
./val/calfw_112x112/60.bmp,./val/calfw_112x112/61.bmp,1,0.023862192
./val/calfw_112x112/62.bmp,./val/calfw_112x112/63.bmp,1,0.46360797
./val/calfw_112x112/64.bmp,./val/calfw_112x112/65.bmp,1,0.5718223
./val/calfw_112x112/66.bmp,./val/calfw_112x112/67.bmp,1,0.017395142
./val/calfw_112x112/68.bmp,./val/calfw_112x112/69.bmp,1,0.6382879
./val/calfw_112x112/70.bmp,./val/calfw_112x112/71.bmp,1,0.57351136
./val/calfw_112x112/72.bmp,./val/calfw_112x112/73.bmp,1,0.56623685
./val/calfw_112x112/74.bmp,./val/calfw_112x112/75.bmp,1,0.48827994
./val/calfw_112x112/76.bmp,./val/calfw_112x112/77.bmp,1,0.4718838
./val/calfw_112x112/78.bmp,./val/calfw_112x112/79.bmp,1,0.51449525
./val/calfw_112x112/80.bmp,./val/calfw_112x112/81.bmp,1,0.50972855
./val/calfw_112x112/82.bmp,./val/calfw_112x112/83.bmp,1,0.56864977
./val/calfw_112x112/84.bmp,./val/calfw_112x112/85.bmp,1,0.47760218
./val/calfw_112x112/86.bmp,./val/calfw_112x112/87.bmp,1,0.61109096
./val/calfw_112x112/88.bmp,./val/calfw_112x112/89.bmp,1,0.54411435
./val/calfw_112x112/90.bmp,./val/calfw_112x112/91.bmp,1,0.69451225
./val/calfw_112x112/92.bmp,./val/calfw_112x112/93.bmp,1,0.5967065
./val/calfw_112x112/94.bmp,./val/calfw_112x112/95.bmp,1,0.63470256
./val/calfw_112x112/96.bmp,./val/calfw_112x112/97.bmp,1,0.4625671
./val/calfw_112x112/98.bmp,./val/calfw_112x112/99.bmp,1,0.45458755
./val/calfw_112x112/100.bmp,./val/calfw_112x112/101.bmp,1,0.66378117
./val/calfw_112x112/102.bmp,./val/calfw_112x112/103.bmp,1,0.51336515
./val/calfw_112x112/104.bmp,./val/calfw_112x112/105.bmp,1,0.51992106
./val/calfw_112x112/106.bmp,./val/calfw_112x112/107.bmp,1,0.44439733
./val/calfw_112x112/108.bmp,./val/calfw_112x112/109.bmp,1,0.4744249
./val/calfw_112x112/110.bmp,./val/calfw_112x112/111.bmp,1,0.5790341
./val/calfw_112x112/112.bmp,./val/calfw_112x112/113.bmp,1,0.5265343
./val/calfw_112x112/114.bmp,./val/calfw_112x112/115.bmp,1,0.6426083
./val/calfw_112x112/116.bmp,./val/calfw_112x112/117.bmp,1,0.3944525
./val/calfw_112x112/118.bmp,./val/calfw_112x112/119.bmp,1,0.44754118
./val/calfw_112x112/120.bmp,./val/calfw_112x112/121.bmp,1,0.559105
./val/calfw_112x112/122.bmp,./val/calfw_112x112/123.bmp,1,0.54847574
./val/calfw_112x112/124.bmp,./val/calfw_112x112/125.bmp,1,0.5709838
./val/calfw_112x112/126.bmp,./val/calfw_112x112/127.bmp,1,0.5273893
./val/calfw_112x112/128.bmp,./val/calfw_112x112/129.bmp,1,0.13717137
./val/calfw_112x112/130.bmp,./val/calfw_112x112/131.bmp,1,0.57979584
./val/calfw_112x112/132.bmp,./val/calfw_112x112/133.bmp,1,0.64565057
./val/calfw_112x112/134.bmp,./val/calfw_112x112/135.bmp,1,0.3170625
./val/calfw_112x112/136.bmp,./val/calfw_112x112/137.bmp,1,0.6507193
./val/calfw_112x112/138.bmp,./val/calfw_112x112/139.bmp,1,0.32572916
./val/calfw_112x112/140.bmp,./val/calfw_112x112/141.bmp,1,0.74706185
./val/calfw_112x112/142.bmp,./val/calfw_112x112/143.bmp,1,0.6039746
./val/calfw_112x112/144.bmp,./val/calfw_112x112/145.bmp,1,0.14006808
./val/calfw_112x112/146.bmp,./val/calfw_112x112/147.bmp,1,0.59214497
./val/calfw_112x112/148.bmp,./val/calfw_112x112/149.bmp,1,0.64201945
./val/calfw_112x112/150.bmp,./val/calfw_112x112/151.bmp,1,0.50206125
./val/calfw_112x112/152.bmp,./val/calfw_112x112/153.bmp,1,0.7220177
./val/calfw_112x112/154.bmp,./val/calfw_112x112/155.bmp,1,0.43855864
./val/calfw_112x112/156.bmp,./val/calfw_112x112/157.bmp,1,0.6644303
./val/calfw_112x112/158.bmp,./val/calfw_112x112/159.bmp,1,0.4861676
./val/calfw_112x112/160.bmp,./val/calfw_112x112/161.bmp,1,0.70872134
./val/calfw_112x112/162.bmp,./val/calfw_112x112/163.bmp,1,0.5818662
./val/calfw_112x112/164.bmp,./val/calfw_112x112/165.bmp,1,0.5844675
./val/calfw_112x112/166.bmp,./val/calfw_112x112/167.bmp,1,0.49209374
./val/calfw_112x112/168.bmp,./val/calfw_112x112/169.bmp,1,0.068967886
./val/calfw_112x112/170.bmp,./val/calfw_112x112/171.bmp,1,0.63948715
./val/calfw_112x112/172.bmp,./val/calfw_112x112/173.bmp,1,0.7654432
./val/calfw_112x112/174.bmp,./val/calfw_112x112/175.bmp,1,0.4674151
./val/calfw_112x112/176.bmp,./val/calfw_112x112/177.bmp,1,0.5875324
./val/calfw_112x112/178.bmp,./val/calfw_112x112/179.bmp,1,0.6391058
./val/calfw_112x112/180.bmp,./val/calfw_112x112/181.bmp,1,0.58335423
./val/calfw_112x112/182.bmp,./val/calfw_112x112/183.bmp,1,0.5722607
./val/calfw_112x112/184.bmp,./val/calfw_112x112/185.bmp,1,0.5545405
./val/calfw_112x112/186.bmp,./val/calfw_112x112/187.bmp,1,0.53652126
./val/calfw_112x112/188.bmp,./val/calfw_112x112/189.bmp,1,0.5343723
./val/calfw_112x112/190.bmp,./val/calfw_112x112/191.bmp,1,0.6817229
./val/calfw_112x112/192.bmp,./val/calfw_112x112/193.bmp,1,0.58190024
