image1,image2,ground_truth,prediction,correct,raw_response
cplfw_112x112/0.bmp,cplfw_112x112/1.bmp,1,0,False,NO
cplfw_112x112/2.bmp,cplfw_112x112/3.bmp,1,0,False,NO
cplfw_112x112/4.bmp,cplfw_112x112/5.bmp,1,0,False,NO
cplfw_112x112/6.bmp,cplfw_112x112/7.bmp,1,0,False,NO
cplfw_112x112/8.bmp,cplfw_112x112/9.bmp,1,0,False,NO
cplfw_112x112/10.bmp,cplfw_112x112/11.bmp,1,0,False,NO
cplfw_112x112/12.bmp,cplfw_112x112/13.bmp,1,0,False,NO
cplfw_112x112/14.bmp,cplfw_112x112/15.bmp,1,0,False,NO
cplfw_112x112/16.bmp,cplfw_112x112/17.bmp,1,0,False,NO
cplfw_112x112/18.bmp,cplfw_112x112/19.bmp,1,0,False,NO
cplfw_112x112/20.bmp,cplfw_112x112/21.bmp,1,0,False,NO
cplfw_112x112/22.bmp,cplfw_112x112/23.bmp,1,0,False,NO
cplfw_112x112/24.bmp,cplfw_112x112/25.bmp,1,0,False,NO
cplfw_112x112/26.bmp,cplfw_112x112/27.bmp,1,0,False,NO
cplfw_112x112/28.bmp,cplfw_112x112/29.bmp,1,0,False,NO
cplfw_112x112/30.bmp,cplfw_112x112/31.bmp,1,0,False,NO
cplfw_112x112/32.bmp,cplfw_112x112/33.bmp,1,0,False,NO
cplfw_112x112/34.bmp,cplfw_112x112/35.bmp,1,0,False,NO
cplfw_112x112/36.bmp,cplfw_112x112/37.bmp,1,0,False,NO
cplfw_112x112/38.bmp,cplfw_112x112/39.bmp,1,0,False,NO
cplfw_112x112/40.bmp,cplfw_112x112/41.bmp,1,0,False,NO
cplfw_112x112/42.bmp,cplfw_112x112/43.bmp,1,0,False,NO
cplfw_112x112/44.bmp,cplfw_112x112/45.bmp,1,0,False,NO
cplfw_112x112/46.bmp,cplfw_112x112/47.bmp,1,0,False,NO
cplfw_112x112/48.bmp,cplfw_112x112/49.bmp,1,0,False,NO
cplfw_112x112/50.bmp,cplfw_112x112/51.bmp,1,0,False,NO
cplfw_112x112/52.bmp,cplfw_112x112/53.bmp,1,0,False,NO
cplfw_112x112/54.bmp,cplfw_112x112/55.bmp,1,1,True,YES
cplfw_112x112/56.bmp,cplfw_112x112/57.bmp,1,0,False,NO
cplfw_112x112/58.bmp,cplfw_112x112/59.bmp,1,0,False,NO
cplfw_112x112/60.bmp,cplfw_112x112/61.bmp,1,0,False,NO
cplfw_112x112/62.bmp,cplfw_112x112/63.bmp,1,0,False,NO
cplfw_112x112/64.bmp,cplfw_112x112/65.bmp,1,0,False,NO
cplfw_112x112/66.bmp,cplfw_112x112/67.bmp,1,0,False,NO
cplfw_112x112/68.bmp,cplfw_112x112/69.bmp,1,0,False,NO
cplfw_112x112/70.bmp,cplfw_112x112/71.bmp,1,0,False,NO
cplfw_112x112/72.bmp,cplfw_112x112/73.bmp,1,0,False,NO
cplfw_112x112/74.bmp,cplfw_112x112/75.bmp,1,0,False,NO
cplfw_112x112/76.bmp,cplfw_112x112/77.bmp,1,0,False,NO
